fill_id,ts,account,venue,instrument,side,price,quantity,liquidity,self_trade
F00028,2026-03-02T17:22:00Z,DESK-SPOT,MSPOT,ETH-USDC,SELL,219323/69,12900000,MAKER,false
F00029,2026-03-02T19:07:00Z,DESK-SPOT,MSPOT,ETH-USDC,SELL,270937/85,37100000,TAKER,false
F00030,2026-03-02T19:50:00Z,DESK-SPOT,MSPOT,BTC-USDT,BUY,2496706/39,1000000,MAKER,false
F00031,2026-03-02T20:59:00Z,DESK-SPOT,MSPOT,ETH-USDC,SELL,216923/68,27900000,MAKER,false
F00032,2026-03-02T22:11:00Z,DESK-SPOT,MSPOT,ETH-USDT,SELL,166297/52,32900000,MAKER,false
F00033,2026-03-02T22:59:00Z,DESK-SPOT,MSPOT,ETH-USDC,BUY,245558/77,22800000,MAKER,false
F00034,2026-03-02T23:52:00Z,DESK-SPOT,MSPOT,ETH-USDT,SELL,114703/36,7800000,MAKER,false
F00035,2026-03-03T01:39:00Z,DESK-SPOT,MSPOT,BTC-USDT,SELL,3274718/51,1900000,TAKER,false
F00036,2026-03-03T02:28:00Z,DESK-PERP,MPERP,BTC-PERP,BUY,5279449/82,1900000,TAKER,false
F00037,2026-03-03T03:04:00Z,DESK-PERP,MPERP,ETH-PERP,BUY,178641/56,2700000,MAKER,false
F00038,2026-03-03T05:20:00Z,DESK-SPOT,MSPOT,BTC-USDT,SELL,4563002/71,1700000,MAKER,false
F00039,2026-03-03T07:22:00Z,DESK-SPOT,MSPOT,ETH-USDT,SELL,184651/58,7200000,TAKER,false
F00040,2026-03-03T09:06:00Z,DESK-SPOT,MSPOT,ETH-USDC,SELL,235707/74,14900000,MAKER,false
F00041,2026-03-03T10:21:00Z,DESK-SPOT,MSPOT,BTC-USDT,SELL,6215882/97,200000,TAKER,false
F00042,2026-03-03T11:46:00Z,DESK-SPOT,MSPOT,ETH-USDC,BUY,289711/91,5200000,TAKER,false
F00043,2026-03-03T13:19:00Z,DESK-SPOT,MSPOT,BTC-USDT,SELL,4351425/68,1500000,MAKER,false
F00044,2026-03-03T15:03:00Z,DESK-SPOT,MSPOT,ETH-USDT,BUY,117665/37,12100000,MAKER,false
F00045,2026-03-03T15:49:00Z,DESK-PERP,MPERP,BTC-PERP,SELL,1468126/23,3800000,TAKER,false
F00046,2026-03-03T17:03:00Z,DESK-SPOT,MSPOT,BTC-USDT,SELL,956516/15,1300000,TAKER,false
F00047,2026-03-03T18:16:00Z,DESK-SPOT,MSPOT,ETH-USDT,BUY,34950/11,7100000,MAKER,true
F00048,2026-03-03T19:22:00Z,DESK-PERP,MPERP,BTC-PERP,BUY,1017631/16,1900000,TAKER,true
F00049,2026-03-03T19:58:00Z,DESK-SPOT,MSPOT,ETH-USDC,SELL,318299/100,20300000,MAKER,false
F00050,2026-03-03T20:45:00Z,DESK-PERP,MPERP,ETH-PERP,BUY,79726/25,18700000,MAKER,false
F00051,2026-03-03T21:42:00Z,DESK-SPOT,MSPOT,ETH-USDT,SELL,111382/35,18300000,MAKER,false
F00052,2026-03-03T23:34:00Z,DESK-SPOT,MSPOT,ETH-USDC,BUY,250852/79,12500000,MAKER,false
F00053,2026-03-04T01:48:00Z,DESK-SPOT,MSPOT,ETH-USDC,BUY,184575/58,33900000,MAKER,false
F00054,2026-03-04T02:43:00Z,DESK-SPOT,MSPOT,BTC-USDT,SELL,2993775/47,1700000,TAKER,false
F00055,2026-03-04T04:15:00Z,DESK-PERP,MPERP,BTC-PERP,SELL,2357980/37,1800000,TAKER,false
F00056,2026-03-04T05:40:00Z,DESK-SPOT,MSPOT,ETH-USDC,SELL,85751/27,15200000,MAKER,false
F00057,2026-03-04T07:08:00Z,DESK-PERP,MPERP,ETH-PERP,SELL,307175/97,5100000,MAKER,false
F00058,2026-03-04T08:00:00Z,DESK-SPOT,MSPOT,ETH-USDC,SELL,263445/83,16100000,MAKER,false
F00059,2026-03-04T08:46:00Z,DESK-SPOT,MSPOT,ETH-USDT,BUY,314261/99,2300000,MAKER,false
F00060,2026-03-04T10:44:00Z,DESK-PERP,MPERP,BTC-PERP,BUY,63914,1600000,MAKER,false
F00061,2026-03-04T11:47:00Z,DESK-PERP,MPERP,BTC-PERP,SELL,5044662/79,3700000,TAKER,false
F00062,2026-03-04T12:31:00Z,DESK-PERP,MPERP,ETH-PERP,BUY,266939/84,20800000,MAKER,false
F00063,2026-03-04T13:32:00Z,DESK-SPOT,MSPOT,ETH-USDC,SELL,263471/83,37400000,TAKER,false
F00064,2026-03-04T15:36:00Z,DESK-PERP,MPERP,BTC-PERP,BUY,5304328/83,700000,TAKER,false
F00065,2026-03-04T17:24:00Z,DESK-PERP,MPERP,BTC-PERP,SELL,6314828/99,1100000,MAKER,false
F00066,2026-03-04T19:31:00Z,DESK-SPOT,MSPOT,BTC-USDT,SELL,4656854/73,2700000,MAKER,false
F00067,2026-03-04T21:15:00Z,DESK-SPOT,MSPOT,BTC-USDT,SELL,5041121/79,700000,MAKER,false
F00068,2026-03-04T22:00:00Z,DESK-SPOT,MSPOT,ETH-USDT,BUY,66788/21,33500000,MAKER,false
F00069,2026-03-05T00:23:00Z,DESK-PERP,MPERP,BTC-PERP,SELL,4800232/75,2900000,MAKER,false
F00070,2026-03-05T01:14:00Z,DESK-PERP,MPERP,ETH-PERP,BUY,22325/7,26900000,MAKER,false
F00071,2026-03-05T02:41:00Z,DESK-SPOT,MSPOT,BTC-USDT,SELL,4357433/68,2000000,MAKER,false
F00072,2026-03-05T03:16:00Z,DESK-SPOT,MSPOT,ETH-USDT,BUY,223317/70,24400000,MAKER,false
F00073,2026-03-05T04:22:00Z,DESK-SPOT,MSPOT,ETH-USDC,SELL,264340/83,10800000,MAKER,false
F00074,2026-03-05T05:36:00Z,DESK-PERP,MPERP,ETH-PERP,SELL,306293/96,14800000,TAKER,false
F00075,2026-03-05T06:32:00Z,DESK-PERP,MPERP,ETH-PERP,SELL,3188,27100000,TAKER,false
F00076,2026-03-05T08:20:00Z,DESK-PERP,MPERP,BTC-PERP,BUY,4925764/77,2000000,TAKER,true
F00077,2026-03-05T10:07:00Z,DESK-SPOT,MSPOT,BTC-USDT,BUY,5823686/91,2000000,MAKER,false
F00078,2026-03-05T12:25:00Z,DESK-SPOT,MSPOT,ETH-USDC,SELL,296395/93,27700000,TAKER,false
F00079,2026-03-05T13:15:00Z,DESK-PERP,MPERP,BTC-PERP,SELL,5768329/90,3000000,MAKER,false
F00080,2026-03-05T15:30:00Z,DESK-PERP,MPERP,ETH-PERP,SELL,149806/47,7700000,MAKER,false
F00081,2026-03-05T16:40:00Z,DESK-PERP,MPERP,ETH-PERP,BUY,41502/13,39800000,TAKER,false
F00082,2026-03-05T19:01:00Z,DESK-PERP,MPERP,ETH-PERP,SELL,207427/65,38400000,TAKER,false
F00083,2026-03-05T21:01:00Z,DESK-PERP,MPERP,ETH-PERP,BUY,267577/84,20400000,MAKER,false
F00084,2026-03-05T22:27:00Z,DESK-SPOT,MSPOT,ETH-USDC,BUY,316147/99,33800000,MAKER,false
F00085,2026-03-06T00:23:00Z,DESK-SPOT,MSPOT,ETH-USDC,SELL,262121/82,3000000,TAKER,false
F00086,2026-03-06T02:37:00Z,DESK-PERP,MPERP,BTC-PERP,BUY,5458762/85,1900000,TAKER,false
F00087,2026-03-06T04:29:00Z,DESK-SPOT,MSPOT,BTC-USDT,SELL,1090879/17,1800000,TAKER,false
F00088,2026-03-06T05:23:00Z,DESK-PERP,MPERP,BTC-PERP,SELL,5595574/87,1800000,MAKER,false
F00089,2026-03-06T06:32:00Z,DESK-PERP,MPERP,ETH-PERP,SELL,299759/94,32200000,MAKER,false
F00090,2026-03-06T08:03:00Z,DESK-SPOT,MSPOT,BTC-USDT,BUY,6033701/94,3400000,MAKER,false
F00091,2026-03-06T10:06:00Z,DESK-SPOT,MSPOT,ETH-USDC,BUY,274467/86,17500000,MAKER,false
F00092,2026-03-06T11:23:00Z,DESK-SPOT,MSPOT,ETH-USDC,SELL,302402/95,5800000,MAKER,false
F00093,2026-03-06T12:04:00Z,DESK-SPOT,MSPOT,ETH-USDT,SELL,98570/31,35400000,MAKER,false
F00094,2026-03-06T13:29:00Z,DESK-PERP,MPERP,ETH-PERP,SELL,181151/57,10800000,TAKER,false
F00095,2026-03-06T14:46:00Z,DESK-SPOT,MSPOT,ETH-USDT,BUY,149161/47,33200000,TAKER,true
F00096,2026-03-06T17:12:00Z,DESK-PERP,MPERP,ETH-PERP,SELL,307689/97,18200000,TAKER,false
F00097,2026-03-06T18:21:00Z,DESK-SPOT,MSPOT,ETH-USDT,BUY,306889/97,34000000,TAKER,false
F00098,2026-03-06T20:10:00Z,DESK-SPOT,MSPOT,ETH-USDT,SELL,310301/98,15400000,MAKER,false
F00099,2026-03-06T21:02:00Z,DESK-PERP,MPERP,BTC-PERP,SELL,4425893/69,2100000,MAKER,false
F00100,2026-03-06T23:08:00Z,DESK-SPOT,MSPOT,ETH-USDC,BUY,123166/39,7400000,MAKER,false
F00101,2026-03-06T23:55:00Z,DESK-SPOT,MSPOT,ETH-USDT,BUY,157463/50,4800000,TAKER,false
F00102,2026-03-07T00:34:00Z,DESK-PERP,MPERP,BTC-PERP,SELL,3147740/49,3500000,MAKER,false
F00103,2026-03-07T01:24:00Z,DESK-PERP,MPERP,ETH-PERP,BUY,315367/100,10800000,MAKER,false
F00104,2026-03-07T02:56:00Z,DESK-PERP,MPERP,BTC-PERP,BUY,6049391/94,1200000,MAKER,false
F00105,2026-03-07T04:41:00Z,DESK-PERP,MPERP,ETH-PERP,SELL,296267/94,12800000,TAKER,false
F00106,2026-03-07T06:31:00Z,DESK-SPOT,MSPOT,BTC-USDT,BUY,5098298/79,1500000,MAKER,false
F00107,2026-03-07T08:55:00Z,DESK-PERP,MPERP,BTC-PERP,SELL,1096005/17,2600000,TAKER,false
F00108,2026-03-07T11:22:00Z,DESK-SPOT,MSPOT,ETH-USDT,BUY,274753/87,3500000,MAKER,false
F00109,2026-03-07T13:06:00Z,DESK-SPOT,MSPOT,BTC-USDT,SELL,5483313/85,2600000,MAKER,false
F00110,2026-03-07T15:28:00Z,DESK-SPOT,MSPOT,ETH-USDC,BUY,88665/28,2700000,MAKER,false
F00111,2026-03-07T16:19:00Z,DESK-SPOT,MSPOT,BTC-USDT,BUY,905753/14,1900000,MAKER,false
F00112,2026-03-07T17:57:00Z,DESK-SPOT,MSPOT,ETH-USDT,BUY,317199/100,16200000,MAKER,false
F00113,2026-03-07T19:52:00Z,DESK-SPOT,MSPOT,ETH-USDC,BUY,288247/91,34800000,MAKER,false
F00114,2026-03-07T22:07:00Z,DESK-PERP,MPERP,ETH-PERP,SELL,101169/32,19900000,MAKER,false
F00115,2026-03-07T23:48:00Z,DESK-SPOT,MSPOT,BTC-USDT,SELL,2205625/34,2400000,MAKER,false
